,loss,accuracy,val_loss,val_accuracy,lr
0,0.3112207055091858,0.9040499925613403,0.5833538770675659,0.8596000075340271,5e-05
1,0.2789846956729889,0.9138500094413757,0.5912013053894043,0.868399977684021,5e-05
2,0.24631543457508087,0.9232000112533569,0.6240813136100769,0.8628000020980835,5e-05
3,0.24125614762306213,0.9234499931335449,0.5934856534004211,0.8640000224113464,5e-05
4,0.18794035911560059,0.9400500059127808,0.6004774570465088,0.8708000183105469,2.5e-05
5,0.167710542678833,0.9471499919891357,0.6094523072242737,0.8712000250816345,2.5e-05
6,0.15640471875667572,0.9510499835014343,0.6171415448188782,0.8776000142097473,2.5e-05
7,0.13959723711013794,0.9571999907493591,0.6290744543075562,0.8751999735832214,2.5e-05
8,0.12836775183677673,0.9601500034332275,0.6340419054031372,0.8744000196456909,2.5e-05
9,0.11366958916187286,0.9639999866485596,0.6122394800186157,0.8795999884605408,1.25e-05
