,loss,accuracy,val_loss,val_accuracy
0,1.2068620920181274,0.6467821598052979,0.8344704508781433,0.7558164596557617
1,0.7184103727340698,0.7834158539772034,0.586358904838562,0.8311632871627808
2,0.5944840312004089,0.8189108967781067,0.6900961995124817,0.802561342716217
3,0.5289424657821655,0.8340594172477722,0.5538276433944702,0.8409818410873413
4,0.4726594388484955,0.8525742292404175,0.5937539339065552,0.8369263410568237
5,0.4373213052749634,0.8615346550941467,0.5364647507667542,0.8475987315177917
6,0.39374661445617676,0.8797524571418762,0.591077983379364,0.8300960659980774
7,0.3657921850681305,0.8856930732727051,0.5402355790138245,0.8580576181411743
8,0.3407331705093384,0.8928712606430054,0.5837914347648621,0.8505869507789612
9,0.31753137707710266,0.8995049595832825,0.5145043134689331,0.8657417297363281
