,loss,accuracy,val_loss,val_accuracy,lr
0,1.4111133813858032,0.5962499976158142,0.556623637676239,0.8327999711036682,1e-04
1,0.7664515376091003,0.7787500023841858,0.47638919949531555,0.86080002784729,1e-04
2,0.6245407462120056,0.8177499771118164,0.47245219349861145,0.8727999925613403,1e-04
3,0.535395622253418,0.8406999707221985,0.4315570294857025,0.8799999952316284,1e-04
4,0.46719813346862793,0.8603500127792358,0.47690945863723755,0.8744000196456909,1e-04
5,0.4135986864566803,0.8761000037193298,0.46559208631515503,0.8712000250816345,1e-04
6,0.3050425350666046,0.9083999991416931,0.39630332589149475,0.9031999707221985,5e-05
7,0.26075807213783264,0.9212999939918518,0.4034574329853058,0.8999999761581421,5e-05
8,0.24099460244178772,0.9240999817848206,0.4216492176055908,0.901199996471405,5e-05
9,0.17937757074832916,0.9447000026702881,0.398018479347229,0.9056000113487244,2.5e-05
